iter	Passed	Remaining
0	10	2072
1	18	1807
2	26	1764
3	34	1702
4	42	1653
5	49	1604
6	57	1575
7	65	1560
8	73	1556
9	80	1525
10	87	1497
11	94	1481
12	101	1465
13	110	1467
14	117	1449
15	124	1428
16	131	1414
17	137	1394
18	145	1385
19	152	1369
20	159	1356
21	165	1340
22	172	1327
23	179	1318
24	186	1305
25	193	1293
26	200	1285
27	207	1273
28	214	1263
29	221	1253
30	228	1246
31	235	1235
32	242	1225
33	249	1216
34	255	1205
35	262	1197
36	269	1186
37	276	1178
38	284	1174
39	291	1166
40	298	1157
41	305	1147
42	312	1139
43	318	1130
44	326	1123
45	332	1113
46	339	1104
47	346	1097
48	353	1088
49	360	1080
50	366	1072
51	373	1063
52	380	1055
53	387	1047
54	394	1039
55	400	1031
56	408	1024
57	415	1016
58	422	1008
59	428	1000
60	435	992
61	442	985
62	449	978
63	456	970
64	464	964
65	470	955
66	477	948
67	484	940
68	492	934
69	498	926
70	505	919
71	512	911
72	519	903
73	526	896
74	533	888
75	539	880
76	546	873
77	553	865
78	560	858
79	566	850
80	573	843
81	580	835
82	587	828
83	594	821
84	601	813
85	608	806
86	615	798
87	622	791
88	628	783
89	635	776
90	641	768
91	647	760
92	654	753
93	661	745
94	667	738
95	674	730
96	680	722
97	687	715
98	694	708
99	700	700
100	707	693
101	714	686
102	721	679
103	727	671
104	734	664
105	740	657
106	747	649
107	754	642
108	760	634
109	767	627
110	773	620
111	780	613
112	787	605
113	793	598
114	800	591
115	806	584
116	813	577
117	820	570
118	827	563
119	834	556
120	841	549
121	847	542
122	854	535
123	861	527
124	867	520
125	874	513
126	881	506
127	888	499
128	894	492
129	901	485
130	908	478
131	914	471
132	921	464
133	928	457
134	934	450
135	941	443
136	948	436
137	954	428
138	961	421
139	968	415
140	975	408
141	982	401
142	989	394
143	996	387
144	1003	380
145	1010	373
146	1017	366
147	1023	359
148	1031	352
149	1037	345
150	1044	339
151	1051	332
152	1058	325
153	1065	318
154	1071	311
155	1078	304
156	1085	297
157	1092	290
158	1099	283
159	1106	276
160	1114	270
161	1123	263
162	1131	256
163	1139	250
164	1147	243
165	1156	236
166	1164	230
167	1171	223
168	1179	216
169	1186	209
170	1194	202
171	1201	195
172	1208	188
173	1215	181
174	1221	174
175	1229	167
176	1236	160
177	1242	153
178	1249	146
179	1256	139
180	1263	132
181	1270	125
182	1277	118
183	1283	111
184	1290	104
185	1297	97
186	1303	90
187	1310	83
188	1317	76
189	1324	69
190	1331	62
191	1337	55
192	1344	48
193	1351	41
194	1358	34
195	1365	27
196	1372	20
197	1379	13
198	1386	6
199	1393	0
